label,rbf_lengthscale,periodic_lengthscale,true_rmse,true_mae,true_r2
"RBF=0.8x, Per=0.8x",6.151813888549805,4.7254787445068365,1.6047164008074024,1.1812492609024048,0.8542565703392029
"RBF=0.8x, Per=0.9x",6.151813888549805,5.31616358757019,1.6339595726222815,1.2018966674804688,0.8488962650299072
"RBF=0.8x, Per=1.0x",6.151813888549805,5.906848430633545,1.5613404358203595,1.1501197814941406,0.8620290160179138
"RBF=0.8x, Per=1.1x",6.151813888549805,6.4975332736969,1.6096566703745625,1.1881425380706787,0.8533577919006348
"RBF=0.8x, Per=1.2x",6.151813888549805,7.088218116760253,1.571956552016697,1.1597105264663696,0.8601464033126831
"RBF=0.9x, Per=0.8x",6.9207906246185305,4.7254787445068365,1.5853447017636366,1.1718270778656006,0.8577540516853333
"RBF=0.9x, Per=0.9x",6.9207906246185305,5.31616358757019,1.5438765161232109,1.140758991241455,0.865098237991333
"RBF=0.9x, Per=1.0x",6.9207906246185305,5.906848430633545,1.5456827366245618,1.1477638483047485,0.8647823929786682
"RBF=0.9x, Per=1.1x",6.9207906246185305,6.4975332736969,1.5742787995729315,1.153347134590149,0.8597329258918762
"RBF=0.9x, Per=1.2x",6.9207906246185305,7.088218116760253,1.586564414605696,1.1730458736419678,0.8575351238250732
"RBF=1.0x, Per=0.8x",7.689767360687256,4.7254787445068365,1.5791584823248692,1.1722999811172485,0.858862042427063
"RBF=1.0x, Per=0.9x",7.689767360687256,5.31616358757019,1.5592899154048303,1.146250605583191,0.8623912334442139
"RBF=1.0x, Per=1.1x",7.689767360687256,6.4975332736969,1.6018841676304585,1.1720569133758545,0.8547705411911011
"RBF=1.0x, Per=1.2x",7.689767360687256,7.088218116760253,1.5719329671618067,1.1556355953216553,0.8601506352424622
"RBF=1.1x, Per=0.8x",8.458744096755982,4.7254787445068365,1.592729728094309,1.186707854270935,0.8564257025718689
"RBF=1.1x, Per=0.9x",8.458744096755982,5.31616358757019,1.6159331391260383,1.2095412015914917,0.8522119522094727
"RBF=1.1x, Per=1.0x",8.458744096755982,5.906848430633545,1.578194116268616,1.1513866186141968,0.8590343594551086
"RBF=1.1x, Per=1.1x",8.458744096755982,6.4975332736969,1.5841740919110046,1.1640757322311401,0.857964038848877
"RBF=1.1x, Per=1.2x",8.458744096755982,7.088218116760253,1.574196940760838,1.1609419584274292,0.8597475290298462
"RBF=1.2x, Per=0.8x",9.227720832824707,4.7254787445068365,1.5653268800555877,1.1448582410812378,0.8613235950469971
"RBF=1.2x, Per=0.9x",9.227720832824707,5.31616358757019,1.5529451047304519,1.1334171295166016,0.8635088205337524
"RBF=1.2x, Per=1.0x",9.227720832824707,5.906848430633545,1.5865883079114347,1.1465834379196167,0.8575308322906494
"RBF=1.2x, Per=1.1x",9.227720832824707,6.4975332736969,1.5518091288124403,1.1479535102844238,0.8637083768844604
"RBF=1.2x, Per=1.2x",9.227720832824707,7.088218116760253,1.5764433710856822,1.191821575164795,0.8593469262123108
